problem; beta; rho; tau0; q0; iterations
A-n53-k7; 1.0; 0.1; 0.01; 0.5; 250

nr; solution value; computation time in sec
1; 1328; 1.312
2; 1306; 1.313
3; 1266; 1.299
4; 1322; 1.222
5; 1314; 1.203
6; 1312; 1.251
7; 1277; 1.317
8; 1263; 1.282
9; 1336; 1.192
10; 1317; 1.285

avg; 1304.1; 1.2676
