problem; beta; rho; tau0; q0; iterations
A-n80-k10; 1.0; 0.3; 0.01; 0.5; 100

nr; solution value; computation time in sec
1; 2338; 1.71
2; 2302; 1.756
3; 2344; 1.772
4; 2281; 1.743
5; 2344; 1.739
6; 2335; 1.719
7; 2364; 1.827
8; 2332; 1.738
9; 2313; 1.725
10; 2318; 1.758

avg; 2327.1; 1.7487
