problem; beta; rho; tau0; q0; iterations
X-n101-k25; 1.0; 0.6; 0.01; 0.5; 100

nr; solution value; computation time in sec
1; 36336; 2.439
2; 35756; 2.532
3; 35334; 2.489
4; 33909; 2.475
5; 35744; 2.461
6; 35593; 2.441
7; 36131; 2.497
8; 35362; 2.482
9; 35755; 2.424
10; 35831; 2.431

avg; 35575.1; 2.4671
