problem; beta; rho; tau0; q0; iterations
A-n39-k5; 1.0; 0.1; 0.1; 0.5; 100

nr; solution value; computation time in sec
1; 1002; 0.193
2; 1020; 0.202
3; 1004; 0.176
4; 1005; 0.177
5; 1013; 0.178
6; 1015; 0.19
7; 1019; 0.178
8; 1005; 0.176
9; 974; 0.177
10; 1032; 0.188

avg; 1008.9; 0.1835
