problem; beta; rho; tau0; q0; iterations
A-n34-k5; 0.0; 0.1; 0.01; 0.5; 100

nr; solution value; computation time in sec
1; 1488; 0.137
2; 1538; 0.124
3; 1472; 0.139
4; 1345; 0.125
5; 1496; 0.123
6; 1496; 0.125
7; 1536; 0.122
8; 1617; 0.146
9; 1419; 0.16
10; 1323; 0.144

avg; 1473.0; 0.1345
