problem; beta; rho; tau0; q0; iterations
X-n162-k11; 1.0; 0.1; 0.01; 0.5; 10

nr; solution value; computation time in sec
1; 26606; 1.211
2; 25641; 1.347
3; 27850; 1.352
4; 26693; 1.348
5; 27030; 1.215
6; 27487; 1.22
7; 26266; 1.224
8; 26502; 1.192
9; 26811; 1.198
10; 26367; 1.227

avg; 26725.3; 1.2534
