problem; beta; rho; tau0; q0; iterations
X-n172-k51; 1.0; 0.1; 0.1; 0.5; 100

nr; solution value; computation time in sec
1; 59817; 13.543
2; 58383; 13.406
3; 58456; 13.455
4; 57906; 13.482
5; 58320; 13.429
6; 58702; 13.466
7; 58746; 13.743
8; 59164; 14.116
9; 57272; 12.061
10; 59006; 11.404

avg; 58577.2; 13.2105
