problem; beta; rho; tau0; q0; iterations
Ex-n13-k4; 1.0; 0.1; 0.1; 0.25; 100

nr; solution value; computation time in sec
1; 563; 0.013
2; 570; 0.015
3; 570; 0.013
4; 581; 0.012
5; 570; 0.013
6; 570; 0.012
7; 570; 0.015
8; 570; 0.013
9; 566; 0.012
10; 566; 0.012

avg; 569.6; 0.013
