problem; optimal value; avg. results; gap in %; lower bound; upper bound; standard deviation; avg. comp. time;
A-n32-k5; 784; 974.3; 24.27; 918; 1008; 24.24; 0.126
A-n33-k5; 661; 802.7; 21.44; 760; 840; 26.34; 0.1345
A-n33-k6; 742; 905.8; 22.08; 888; 942; 16.9; 0.1229
A-n34-k5; 778; 940.3; 20.86; 918; 963; 15.24; 0.1297
A-n36-k5; 799; 1029.9; 28.9; 992; 1067; 27.72; 0.1491
A-n37-k5; 669; 880.7; 31.64; 841; 923; 28.8; 0.1613
A-n37-k6; 949; 1196.9; 26.12; 1119; 1224; 30.0; 0.1631
A-n38-k5; 730; 926.6; 26.93; 844; 977; 37.01; 0.1806
A-n39-k5; 822; 1013.7; 23.32; 970; 1046; 21.29; 0.1902
A-n39-k6; 831; 1093.4; 31.58; 1040; 1144; 32.37; 0.1904
A-n44-k6; 937; 1187.3; 26.71; 1160; 1202; 14.65; 0.2707
A-n45-k6; 944; 1227.0; 29.98; 1201; 1253; 21.57; 0.3205
A-n45-k7; 1146; 1440.1; 25.66; 1389; 1465; 21.57; 0.3244
A-n46-k7; 914; 1194.4; 30.68; 1144; 1229; 23.46; 0.3354
A-n48-k7; 1073; 1394.2; 29.93; 1333; 1435; 33.7; 0.3949
A-n53-k7; 1010; 1364.2; 35.07; 1308; 1394; 26.59; 0.5109
A-n54-k7; 1167; 1455.0; 24.68; 1416; 1487; 22.45; 0.5552
A-n55-k9; 1073; 1423.1; 32.63; 1372; 1466; 30.13; 0.582
A-n60-k9; 1354; 1815.4; 34.08; 1774; 1867; 22.84; 0.7363
A-n61-k9; 1034; 1425.0; 37.81; 1379; 1455; 24.76; 0.7713
A-n62-k8; 1288; 1720.3; 33.56; 1634; 1787; 52.81; 0.7968
A-n63-k10; 1314; 1794.0; 36.53; 1735; 1849; 38.09; 0.794
A-n63-k9; 1616; 2038.1; 26.12; 1994; 2082; 30.18; 0.8099
A-n64-k9; 1401; 1855.6; 32.45; 1819; 1896; 24.74; 0.8824
A-n65-k9; 1174; 1646.4; 40.24; 1580; 1736; 41.71; 0.9241
A-n69-k9; 1159; 1723.4; 48.7; 1674; 1747; 23.92; 1.1091
A-n80-k10; 1763; 2396.6; 35.94; 2353; 2440; 30.52; 1.6878
X-n101-k25; 27591; 36992.7; 34.08; 35774; 37734; 556.91; 2.4876
X-n106-k14; 26362; 29498.1; 11.9; 29030; 29779; 224.67; 3.4044
X-n110-k13; 14971; 20202.4; 34.94; 19609; 20581; 317.49; 3.8632
X-n115-k10; 12747; 21159.7; 66.0; 20304; 21774; 470.12; 3.9957
X-n120-k6; 13332; 18870.1; 41.54; 18427; 19186; 255.22; 4.9364
X-n125-k30; 55539; 64179.2; 15.56; 63570; 64877; 426.77; 4.5702
X-n129-k18; 28940; 37474.6; 29.49; 36946; 38261; 449.06; 5.6179
X-n134-k13; 10916; 16074.4; 47.26; 15323; 16609; 343.62; 6.2933
X-n139-k10; 13590; 20357.5; 49.8; 19482; 20855; 359.37; 7.6461
X-n143-k7; 15700; 25455.2; 62.14; 24487; 26103; 485.76; 8.2541
X-n148-k46; 43448; 56000.7; 28.89; 55054; 56721; 450.95; 9.2731
X-n153-k22; 21220; 29484.9; 38.95; 29036; 29978; 326.11; 9.1689
X-n157-k13; 16876; 20221.8; 19.83; 19983; 20450; 154.74; 12.6899
X-n162-k11; 14138; 21233.3; 50.19; 20568; 21637; 288.81; 12.8612
X-n167-k10; 20557; 29160.8; 41.85; 28473; 29704; 362.35; 14.9813
X-n172-k51; 45607; 59942.6; 31.43; 59224; 60977; 567.59; 13.8019
X-n176-k26; 47812; 65541.1; 37.08; 64365; 66212; 554.99; 13.7728
X-n181-k23; 25569; 30148.3; 17.91; 29895; 30413; 180.83; 19.239
X-n186-k15; 24145; 33989.5; 40.77; 33711; 34520; 252.85; 18.4374
X-n190-k8; 16980; 21945.3; 29.24; 21474; 22176; 201.28; 20.4112
X-n195-k51; 44225; 62218.4; 40.69; 60891; 63070; 596.27; 19.2899
X-n200-k36; 58578; 66879.5; 14.17; 66350; 67321; 347.44; 22.2026
