problem; optimal value; avg. results; gap in %; lower bound; upper bound; standard deviation; avg. comp. time;
A-n32-k5; 784; 921.7; 17.56; 871; 957; 24.42; 0.1298
A-n33-k5; 661; 794.7; 20.23; 758; 820; 17.04; 0.1427
A-n33-k6; 742; 859.0; 15.77; 838; 886; 16.22; 0.1367
A-n34-k5; 778; 914.1; 17.49; 858; 950; 29.76; 0.1516
A-n36-k5; 799; 991.3; 24.07; 964; 1018; 14.59; 0.1798
A-n37-k5; 669; 865.7; 29.4; 834; 891; 14.65; 0.1946
A-n37-k6; 949; 1139.5; 20.07; 1065; 1165; 28.61; 0.2186
A-n38-k5; 730; 879.6; 20.49; 841; 910; 21.73; 0.2467
A-n39-k5; 822; 990.7; 20.52; 954; 1013; 17.66; 0.2647
A-n39-k6; 831; 1039.6; 25.1; 976; 1064; 27.57; 0.2642
A-n44-k6; 937; 1141.1; 21.78; 1121; 1176; 17.98; 0.3767
A-n45-k6; 944; 1164.3; 23.34; 1111; 1211; 28.05; 0.3482
A-n45-k7; 1146; 1432.9; 25.03; 1373; 1478; 30.36; 0.3573
A-n46-k7; 914; 1140.2; 24.75; 1115; 1165; 17.08; 0.3645
A-n48-k7; 1073; 1308.2; 21.92; 1241; 1359; 37.47; 0.4288
A-n53-k7; 1010; 1332.8; 31.96; 1296; 1358; 18.77; 0.5467
A-n54-k7; 1167; 1413.2; 21.1; 1387; 1451; 17.08; 0.5833
A-n55-k9; 1073; 1391.8; 29.71; 1365; 1417; 17.9; 0.6843
A-n60-k9; 1354; 1706.5; 26.03; 1648; 1748; 29.13; 0.9699
A-n61-k9; 1034; 1368.9; 32.39; 1304; 1406; 31.34; 0.9898
A-n62-k8; 1288; 1655.0; 28.49; 1594; 1700; 32.65; 1.03
A-n63-k10; 1314; 1663.9; 26.63; 1607; 1702; 31.98; 1.0774
A-n63-k9; 1616; 1966.1; 21.66; 1922; 2000; 20.16; 1.0737
A-n64-k9; 1401; 1840.7; 31.38; 1781; 1874; 30.53; 1.1578
A-n65-k9; 1174; 1594.7; 35.83; 1498; 1661; 48.52; 1.2201
A-n69-k9; 1159; 1644.5; 41.89; 1613; 1680; 22.05; 1.4464
A-n80-k10; 1763; 2312.4; 31.16; 2284; 2331; 13.93; 2.3742
X-n101-k25; 27591; 34259.6; 24.17; 33624; 34681; 313.68; 3.4362
X-n106-k14; 26362; 28818.6; 9.32; 28540; 29047; 124.19; 4.785
X-n110-k13; 14971; 18757.7; 25.29; 18513; 19095; 172.84; 5.4265
X-n115-k10; 12747; 18862.1; 47.97; 18407; 19306; 286.26; 5.5376
X-n120-k6; 13332; 16719.8; 25.41; 16390; 17051; 222.69; 6.9685
X-n125-k30; 55539; 61919.9; 11.49; 61201; 62485; 416.24; 6.6157
X-n129-k18; 28940; 35404.5; 22.34; 34502; 35908; 406.23; 8.3054
X-n134-k13; 10916; 14426.6; 32.16; 14105; 14907; 257.28; 9.567
X-n139-k10; 13590; 18006.3; 32.5; 17521; 18316; 215.79; 11.5558
X-n143-k7; 15700; 23168.4; 47.57; 22615; 23635; 297.5; 11.6259
X-n148-k46; 43448; 51656.1; 18.89; 50066; 52158; 560.97; 13.1594
X-n153-k22; 21220; 27201.6; 28.19; 26520; 27578; 281.68; 14.7171
X-n157-k13; 16876; 19133.7; 13.38; 18964; 19249; 74.14; 17.6497
X-n162-k11; 14138; 18694.7; 32.23; 18258; 19039; 200.0; 18.2668
X-n167-k10; 20557; 26510.1; 28.96; 26096; 26720; 185.49; 22.246
X-n172-k51; 45607; 56142.5; 23.1; 54008; 56860; 855.3; 20.5243
X-n176-k26; 47812; 60420.2; 26.37; 59419; 61083; 495.43; 24.347
X-n181-k23; 25569; 28678.4; 12.16; 28408; 28880; 136.16; 27.5354
X-n186-k15; 24145; 30878.7; 27.89; 29822; 31239; 386.21; 30.1946
X-n190-k8; 16980; 20616.0; 21.41; 20356; 20772; 117.35; 31.7237
X-n195-k51; 44225; 57007.6; 28.9; 55989; 57627; 569.87; 29.1754
X-n200-k36; 58578; 64955.7; 10.89; 64175; 65216; 280.11; 35.4667
