problem; optimal value; avg. results; gap in %; lower bound; upper bound; standard deviation; avg. comp. time;
A-n32-k5; 784; 939.5; 19.83; 930; 962; 9.14; 0.0988
A-n33-k5; 661; 748.9; 13.3; 729; 767; 9.85; 0.1142
A-n33-k6; 742; 841.7; 13.44; 799; 876; 19.57; 0.1115
A-n34-k5; 778; 870.2; 11.85; 857; 876; 5.81; 0.1234
A-n36-k5; 799; 981.5; 22.84; 921; 1013; 24.57; 0.1419
A-n37-k5; 669; 830.0; 24.07; 804; 842; 11.1; 0.1525
A-n37-k6; 949; 1114.2; 17.41; 1073; 1141; 24.46; 0.1666
A-n38-k5; 730; 867.7; 18.86; 856; 875; 6.69; 0.1927
A-n39-k5; 822; 918.1; 11.69; 905; 934; 8.95; 0.1856
A-n39-k6; 831; 1005.2; 20.96; 964; 1021; 15.77; 0.1782
A-n44-k6; 937; 1055.7; 12.67; 1024; 1073; 15.17; 0.2578
A-n45-k6; 944; 1108.4; 17.42; 1087; 1136; 17.46; 0.2677
A-n45-k7; 1146; 1324.6; 15.58; 1312; 1340; 9.2; 0.2675
A-n46-k7; 914; 1102.9; 20.67; 1093; 1114; 6.79; 0.2816
A-n48-k7; 1073; 1307.0; 21.81; 1282; 1325; 11.98; 0.3253
A-n53-k7; 1010; 1216.8; 20.48; 1176; 1249; 21.66; 0.4312
A-n54-k7; 1167; 1312.4; 12.46; 1292; 1329; 11.67; 0.4772
A-n55-k9; 1073; 1303.9; 21.52; 1277; 1313; 9.6; 0.4902
A-n60-k9; 1354; 1637.9; 20.97; 1601; 1665; 18.81; 0.5913
A-n61-k9; 1034; 1221.3; 18.11; 1199; 1254; 15.06; 0.6501
A-n62-k8; 1288; 1540.0; 19.57; 1498; 1576; 21.38; 0.6792
A-n63-k10; 1314; 1605.3; 22.17; 1565; 1638; 21.83; 0.6512
A-n63-k9; 1616; 1826.3; 13.01; 1787; 1867; 24.92; 0.6768
A-n64-k9; 1401; 1707.5; 21.88; 1651; 1746; 27.09; 0.7172
A-n65-k9; 1174; 1438.0; 22.49; 1401; 1464; 15.84; 0.7404
A-n69-k9; 1159; 1401.4; 20.91; 1368; 1418; 16.13; 0.9024
A-n80-k10; 1763; 2128.0; 20.7; 2099; 2155; 16.8; 1.3848
X-n101-k25; 27591; 35265.5; 27.82; 34930; 35691; 259.8; 2.7654
X-n106-k14; 26362; 28038.7; 6.36; 27839; 28154; 90.67; 4.0012
X-n110-k13; 14971; 16943.8; 13.18; 16835; 17046; 62.88; 4.4067
X-n115-k10; 12747; 15993.9; 25.47; 15625; 16437; 244.64; 4.6926
X-n120-k6; 13332; 15168.1; 13.77; 14975; 15363; 95.58; 5.8072
X-n125-k30; 55539; 62089.8; 11.79; 61110; 62694; 414.59; 5.3509
X-n129-k18; 28940; 33721.6; 16.52; 33290; 34020; 204.27; 6.6294
X-n134-k13; 10916; 13675.2; 25.28; 13517; 13911; 115.8; 7.4655
X-n139-k10; 13590; 15835.9; 16.53; 15694; 15933; 70.13; 8.8735
X-n143-k7; 15700; 20342.0; 29.57; 19897; 20626; 199.93; 9.0983
X-n148-k46; 43448; 52200.0; 20.14; 51828; 52538; 197.24; 8.9812
X-n153-k22; 21220; 26724.2; 25.94; 26148; 27166; 305.96; 9.6772
X-n157-k13; 16876; 17967.4; 6.47; 17878; 18115; 72.86; 12.4618
X-n162-k11; 14138; 16318.9; 15.43; 16194; 16570; 108.76; 13.8672
X-n167-k10; 20557; 24177.9; 17.61; 24026; 24345; 106.31; 15.4972
X-n172-k51; 45607; 57606.6; 26.31; 56675; 58242; 498.52; 13.9809
X-n176-k26; 47812; 60565.6; 26.67; 58943; 61306; 628.68; 15.3961
X-n181-k23; 25569; 27194.4; 6.36; 27050; 27268; 68.86; 19.9672
X-n186-k15; 24145; 28187.0; 16.74; 27903; 28335; 130.54; 21.5249
X-n190-k8; 16980; 19287.6; 13.59; 18988; 19465; 123.02; 22.3023
X-n195-k51; 44225; 56814.3; 28.47; 55795; 57489; 504.19; 20.0657
X-n200-k36; 58578; 63456.9; 8.33; 62947; 63797; 273.83; 24.7988
