problem; optimal value; avg. results; gap in %; lower bound; upper bound; standard deviation; avg. comp. time;
A-n32-k5; 784; 979.9; 24.99; 942; 1028; 27.94; 0.132
A-n33-k5; 661; 836.9; 26.61; 796; 859; 20.75; 0.143
A-n33-k6; 742; 889.2; 19.84; 845; 923; 23.95; 0.1351
A-n34-k5; 778; 951.5; 22.3; 932; 967; 11.35; 0.155
A-n36-k5; 799; 1033.3; 29.32; 991; 1065; 25.65; 0.1795
A-n37-k5; 669; 916.2; 36.95; 884; 938; 18.59; 0.1975
A-n37-k6; 949; 1194.5; 25.87; 1174; 1213; 12.25; 0.192
A-n38-k5; 730; 934.8; 28.05; 893; 968; 23.58; 0.2124
A-n39-k5; 822; 1060.5; 29.01; 1044; 1087; 16.32; 0.2645
A-n39-k6; 831; 1118.1; 34.55; 1071; 1145; 22.47; 0.263
A-n44-k6; 937; 1197.0; 27.75; 1156; 1254; 30.51; 0.3759
A-n45-k6; 944; 1233.7; 30.69; 1202; 1264; 19.89; 0.4056
A-n45-k7; 1146; 1513.6; 32.08; 1486; 1570; 23.26; 0.4304
A-n46-k7; 914; 1210.0; 32.39; 1174; 1236; 18.31; 0.4128
A-n48-k7; 1073; 1389.4; 29.49; 1342; 1429; 30.22; 0.4771
A-n53-k7; 1010; 1424.3; 41.02; 1372; 1464; 26.5; 0.5941
A-n54-k7; 1167; 1480.2; 26.84; 1442; 1530; 26.85; 0.6047
A-n55-k9; 1073; 1459.5; 36.02; 1428; 1506; 26.17; 0.6259
A-n60-k9; 1354; 1779.8; 31.45; 1741; 1812; 22.66; 0.7603
A-n61-k9; 1034; 1484.5; 43.57; 1444; 1518; 21.83; 0.8414
A-n62-k8; 1288; 1709.5; 32.73; 1642; 1764; 38.68; 0.852
A-n63-k10; 1314; 1770.3; 34.73; 1736; 1795; 22.6; 0.8577
A-n63-k9; 1616; 2064.1; 27.73; 2035; 2109; 24.08; 0.8718
A-n64-k9; 1401; 1934.2; 38.06; 1839; 1967; 36.08; 0.958
A-n65-k9; 1174; 1710.6; 45.71; 1599; 1784; 53.22; 1.0373
A-n69-k9; 1159; 1724.5; 48.79; 1699; 1757; 16.92; 1.2196
A-n80-k10; 1763; 2464.3; 39.78; 2423; 2521; 30.5; 1.9097
X-n101-k25; 27591; 38648.2; 40.08; 37975; 39362; 428.22; 3.4448
X-n106-k14; 26362; 31067.5; 17.85; 30751; 31463; 230.3; 4.7429
X-n110-k13; 14971; 22859.9; 52.69; 21414; 23613; 579.84; 5.3862
X-n115-k10; 12747; 23769.3; 86.47; 22358; 24920; 696.68; 5.5416
X-n120-k6; 13332; 21013.9; 57.62; 20116; 21800; 535.34; 7.0471
X-n125-k30; 55539; 65709.2; 18.31; 64649; 66564; 533.12; 7.3306
X-n129-k18; 28940; 40865.7; 41.21; 39697; 42009; 726.11; 9.3621
X-n134-k13; 10916; 16848.6; 54.35; 16210; 17584; 418.29; 10.6116
X-n139-k10; 13590; 23357.4; 71.87; 22757; 24135; 484.05; 12.55
X-n143-k7; 15700; 29232.1; 86.19; 28149; 30352; 570.31; 13.0063
X-n148-k46; 43448; 58572.8; 34.81; 57541; 59476; 604.0; 11.8277
X-n153-k22; 21220; 30405.9; 43.29; 29702; 31014; 375.74; 12.7685
X-n157-k13; 16876; 21603.4; 28.01; 21106; 22091; 277.93; 18.0784
X-n162-k11; 14138; 24718.8; 74.84; 24259; 25561; 351.27; 20.1356
X-n167-k10; 20557; 32849.5; 59.8; 31087; 33701; 717.35; 21.7344
X-n172-k51; 45607; 62916.7; 37.95; 61277; 64170; 723.19; 19.7849
X-n176-k26; 47812; 69981.0; 46.37; 67934; 72141; 1155.44; 24.0734
X-n181-k23; 25569; 32868.4; 28.55; 31199; 33910; 761.1; 28.199
X-n186-k15; 24145; 38892.4; 61.08; 38109; 39530; 459.69; 31.2923
X-n190-k8; 16980; 23280.2; 37.1; 22785; 23616; 245.67; 31.1052
X-n195-k51; 44225; 66289.8; 49.89; 63833; 67373; 1231.79; 29.6971
X-n200-k36; 58578; 70693.6; 20.68; 70193; 71376; 354.16; 36.6037
