problem; optimal value; avg. results; gap in %; lower bound; upper bound; standard deviation; avg. comp. time;
A-n32-k5; 784; 962.5; 22.77; 929; 981; 14.55; 0.1304
A-n33-k5; 661; 779.7; 17.96; 758; 798; 14.62; 0.1332
A-n33-k6; 742; 871.3; 17.43; 841; 907; 21.15; 0.1329
A-n34-k5; 778; 908.4; 16.76; 866; 937; 21.56; 0.1415
A-n36-k5; 799; 998.6; 24.98; 932; 1043; 36.03; 0.1674
A-n37-k5; 669; 862.1; 28.86; 818; 900; 26.19; 0.1765
A-n37-k6; 949; 1133.1; 19.4; 1067; 1175; 36.07; 0.1628
A-n38-k5; 730; 894.9; 22.59; 859; 922; 18.95; 0.167
A-n39-k5; 822; 1016.1; 23.61; 959; 1042; 24.57; 0.1835
A-n39-k6; 831; 1058.1; 27.33; 1034; 1080; 12.41; 0.1788
A-n44-k6; 937; 1158.4; 23.63; 1121; 1193; 25.85; 0.2572
A-n45-k6; 944; 1173.3; 24.29; 1135; 1218; 26.4; 0.2696
A-n45-k7; 1146; 1396.4; 21.85; 1355; 1449; 27.84; 0.2732
A-n46-k7; 914; 1158.6; 26.76; 1124; 1190; 19.1; 0.3242
A-n48-k7; 1073; 1381.8; 28.78; 1362; 1413; 16.61; 0.3237
A-n53-k7; 1010; 1342.3; 32.9; 1308; 1378; 23.41; 0.4197
A-n54-k7; 1167; 1421.2; 21.78; 1369; 1456; 25.13; 0.4967
A-n55-k9; 1073; 1389.7; 29.52; 1322; 1434; 27.54; 0.4799
A-n60-k9; 1354; 1745.6; 28.92; 1676; 1809; 33.79; 0.5925
A-n61-k9; 1034; 1378.0; 33.27; 1352; 1409; 19.13; 0.6483
A-n62-k8; 1288; 1688.2; 31.07; 1615; 1722; 34.5; 0.6706
A-n63-k10; 1314; 1723.4; 31.16; 1687; 1770; 23.14; 0.6613
A-n63-k9; 1616; 2003.4; 23.97; 1944; 2039; 33.31; 0.6941
A-n64-k9; 1401; 1833.9; 30.9; 1761; 1896; 37.25; 0.735
A-n65-k9; 1174; 1612.8; 37.38; 1551; 1662; 40.19; 0.7498
A-n69-k9; 1159; 1658.2; 43.07; 1604; 1689; 22.99; 0.9153
A-n80-k10; 1763; 2358.6; 33.78; 2310; 2416; 28.94; 1.4093
X-n101-k25; 27591; 36000.4; 30.48; 35426; 36343; 295.33; 2.4348
X-n106-k14; 26362; 29425.3; 11.62; 29225; 29615; 123.4; 3.3924
X-n110-k13; 14971; 20577.1; 37.45; 19743; 21107; 401.71; 3.7481
X-n115-k10; 12747; 20885.8; 63.85; 19076; 21617; 677.25; 3.9298
X-n120-k6; 13332; 19453.7; 45.92; 18698; 19927; 383.72; 4.892
X-n125-k30; 55539; 63728.0; 14.74; 63323; 64091; 291.06; 4.5183
X-n129-k18; 28940; 37534.2; 29.7; 37036; 37915; 290.67; 5.6069
X-n134-k13; 10916; 15661.3; 43.47; 14814; 16109; 357.55; 6.2712
X-n139-k10; 13590; 21187.4; 55.9; 20398; 21970; 376.98; 7.4702
X-n143-k7; 15700; 26199.9; 66.88; 25578; 27150; 407.68; 7.7065
X-n148-k46; 43448; 54957.7; 26.49; 54049; 55657; 454.17; 7.6435
X-n153-k22; 21220; 28708.7; 35.29; 27939; 29413; 406.32; 8.4416
X-n157-k13; 16876; 20588.3; 22.0; 20349; 20793; 146.01; 11.0833
X-n162-k11; 14138; 22341.3; 58.02; 21865; 22835; 313.69; 12.2737
X-n167-k10; 20557; 30722.9; 49.45; 29710; 31182; 413.1; 14.456
X-n172-k51; 45607; 58894.8; 29.14; 57978; 60108; 602.3; 13.5911
X-n176-k26; 47812; 65473.5; 36.94; 64290; 66266; 637.92; 13.6642
X-n181-k23; 25569; 30865.4; 20.71; 30458; 31109; 185.48; 18.0879
X-n186-k15; 24145; 35517.8; 47.1; 34494; 35995; 460.11; 19.3373
X-n190-k8; 16980; 22377.5; 31.79; 22183; 22524; 118.65; 20.7268
X-n195-k51; 44225; 61167.4; 38.31; 59729; 62303; 788.41; 19.3503
X-n200-k36; 58578; 66641.7; 13.77; 65056; 67416; 601.09; 22.6016
