problem; optimal value; avg. results; gap in %; lower bound; upper bound; standard deviation; avg. comp. time;
A-n32-k5; 784; 969.1; 23.61; 871; 1054; 50.26; 0.0102
A-n33-k5; 661; 837.3; 26.67; 755; 860; 28.9; 0.0113
A-n33-k6; 742; 910.5; 22.71; 865; 949; 29.59; 0.0112
A-n34-k5; 778; 967.4; 24.34; 943; 1007; 20.35; 0.0123
A-n36-k5; 799; 1045.8; 30.89; 1002; 1095; 27.78; 0.0141
A-n37-k5; 669; 914.2; 36.65; 890; 937; 14.52; 0.0151
A-n37-k6; 949; 1204.4; 26.91; 1126; 1255; 37.74; 0.0152
A-n38-k5; 730; 932.7; 27.77; 874; 979; 33.32; 0.0171
A-n39-k5; 822; 1048.9; 27.6; 991; 1092; 28.55; 0.0182
A-n39-k6; 831; 1096.1; 31.9; 1050; 1144; 31.8; 0.0182
A-n44-k6; 937; 1180.5; 25.99; 1065; 1235; 43.53; 0.0255
A-n45-k6; 944; 1223.0; 29.56; 1160; 1276; 34.43; 0.0275
A-n45-k7; 1146; 1521.9; 32.8; 1433; 1558; 36.27; 0.0282
A-n46-k7; 914; 1186.4; 29.8; 1141; 1244; 32.89; 0.0287
A-n48-k7; 1073; 1409.6; 31.37; 1379; 1437; 20.06; 0.0328
A-n53-k7; 1010; 1398.3; 38.45; 1342; 1463; 40.94; 0.0436
A-n54-k7; 1167; 1444.0; 23.74; 1390; 1522; 35.78; 0.0466
A-n55-k9; 1073; 1439.5; 34.16; 1364; 1497; 44.06; 0.0501
A-n60-k9; 1354; 1768.5; 30.61; 1737; 1819; 26.16; 0.0622
A-n61-k9; 1034; 1453.5; 40.57; 1368; 1514; 47.17; 0.0691
A-n62-k8; 1288; 1741.8; 35.23; 1651; 1803; 49.9; 0.0689
A-n63-k10; 1314; 1804.1; 37.3; 1760; 1865; 25.37; 0.0708
A-n63-k9; 1616; 2065.1; 27.79; 2018; 2110; 29.64; 0.0727
A-n64-k9; 1401; 1906.3; 36.07; 1797; 1946; 39.36; 0.0763
A-n65-k9; 1174; 1687.1; 43.71; 1636; 1727; 31.73; 0.0809
A-n69-k9; 1159; 1716.1; 48.07; 1696; 1755; 20.21; 0.0952
A-n80-k10; 1763; 2438.3; 38.3; 2360; 2490; 44.88; 0.1491
A-n32-k5; 784; 965.5; 23.15; 854; 1040; 59.35; 0.0101
A-n33-k5; 661; 864.5; 30.79; 830; 888; 16.14; 0.0114
A-n33-k6; 742; 901.4; 21.48; 859; 938; 27.79; 0.0112
A-n34-k5; 778; 963.6; 23.86; 944; 978; 11.69; 0.0122
A-n36-k5; 799; 1060.7; 32.75; 1013; 1085; 22.03; 0.0142
A-n37-k5; 669; 917.5; 37.14; 876; 952; 27.03; 0.0153
