problem; optimal value; avg. results; gap in %; lower bound; upper bound; standard deviation; avg. comp. time;
A-n32-k5; 784; 938.6; 19.72; 854; 1003; 49.26; 0.1375
A-n33-k5; 661; 780.9; 18.14; 744; 816; 19.99; 0.1444
A-n33-k6; 742; 862.4; 16.23; 828; 898; 20.74; 0.1586
A-n34-k5; 778; 924.0; 18.77; 903; 953; 15.36; 0.1574
A-n36-k5; 799; 1007.6; 26.11; 990; 1042; 15.2; 0.1807
A-n37-k5; 669; 870.6; 30.13; 847; 881; 10.9; 0.1916
A-n37-k6; 949; 1157.7; 21.99; 1093; 1204; 32.39; 0.192
A-n38-k5; 730; 872.9; 19.58; 837; 908; 26.05; 0.2135
A-n39-k5; 822; 996.5; 21.23; 962; 1021; 17.7; 0.2388
A-n39-k6; 831; 1063.1; 27.93; 1014; 1109; 25.03; 0.2316
A-n44-k6; 937; 1156.8; 23.46; 1115; 1188; 19.48; 0.3251
A-n45-k6; 944; 1173.8; 24.34; 1125; 1212; 25.81; 0.3487
A-n45-k7; 1146; 1385.0; 20.86; 1360; 1411; 16.56; 0.3604
A-n46-k7; 914; 1159.6; 26.87; 1140; 1185; 17.72; 0.3513
A-n48-k7; 1073; 1377.1; 28.34; 1348; 1398; 14.32; 0.4243
A-n53-k7; 1010; 1333.5; 32.03; 1301; 1371; 23.94; 0.5383
A-n54-k7; 1167; 1422.3; 21.88; 1397; 1458; 19.21; 0.5612
A-n55-k9; 1073; 1380.1; 28.62; 1342; 1406; 19.61; 0.6097
A-n60-k9; 1354; 1746.6; 29.0; 1724; 1775; 18.88; 0.7492
A-n61-k9; 1034; 1352.4; 30.79; 1315; 1383; 18.47; 0.8341
A-n62-k8; 1288; 1686.2; 30.92; 1602; 1730; 37.26; 0.8264
A-n63-k10; 1314; 1723.0; 31.13; 1632; 1767; 38.91; 0.8506
A-n63-k9; 1616; 1991.7; 23.25; 1956; 2022; 21.32; 0.8475
A-n64-k9; 1401; 1825.5; 30.3; 1789; 1870; 26.8; 0.9012
A-n65-k9; 1174; 1587.7; 35.24; 1549; 1643; 27.91; 0.9466
A-n69-k9; 1159; 1610.6; 38.96; 1555; 1667; 41.43; 1.138
A-n80-k10; 1763; 2327.1; 32.0; 2281; 2364; 22.75; 1.7487
X-n101-k25; 27591; 35815.3; 29.81; 35182; 36289; 352.0; 2.5938
X-n106-k14; 26362; 29300.7; 11.15; 29078; 29484; 126.95; 3.3568
X-n110-k13; 14971; 19976.0; 33.43; 19550; 20417; 311.65; 3.7758
X-n115-k10; 12747; 20561.8; 61.31; 20116; 21026; 303.28; 3.9373
X-n120-k6; 13332; 18917.3; 41.89; 18482; 19130; 173.88; 4.8973
X-n125-k30; 55539; 63516.6; 14.36; 63060; 63968; 270.7; 4.4453
X-n129-k18; 28940; 36906.2; 27.53; 36515; 37369; 325.71; 5.5313
X-n134-k13; 10916; 15518.6; 42.16; 14945; 15935; 326.98; 6.2628
X-n139-k10; 13590; 20083.7; 47.78; 19517; 20425; 280.87; 7.4856
X-n143-k7; 15700; 25258.1; 60.88; 24354; 26031; 404.04; 7.9325
X-n148-k46; 43448; 54468.3; 25.36; 53710; 54957; 422.81; 7.9662
X-n153-k22; 21220; 28529.3; 34.45; 27589; 29217; 415.68; 9.7126
X-n157-k13; 16876; 20082.3; 19.0; 19664; 20247; 174.39; 11.9849
X-n162-k11; 14138; 21325.8; 50.84; 20961; 21645; 241.64; 13.5142
X-n167-k10; 20557; 29402.3; 43.03; 28918; 30024; 306.91; 15.2109
X-n172-k51; 45607; 58129.3; 27.46; 56810; 58958; 626.58; 13.4296
X-n176-k26; 47812; 64707.3; 35.34; 63868; 65511; 453.27; 14.8572
X-n181-k23; 25569; 30036.3; 17.47; 29827; 30389; 188.31; 17.8533
X-n186-k15; 24145; 33665.4; 39.43; 33175; 34053; 284.24; 18.8113
X-n190-k8; 16980; 22104.7; 30.18; 21704; 22382; 212.38; 20.6551
X-n195-k51; 44225; 60745.7; 37.36; 60338; 61203; 279.83; 19.1046
X-n200-k36; 58578; 66161.0; 12.95; 65694; 66420; 198.59; 21.9901
