problem; optimal value; avg. results; gap in %; lower bound; upper bound; standard deviation; avg. comp. time;
A-n32-k5; 784; 1050.1; 33.94; 1005; 1099; 24.63; 0.0109
A-n33-k5; 661; 872.9; 32.06; 810; 921; 30.43; 0.0122
A-n33-k6; 742; 934.5; 25.94; 847; 977; 36.74; 0.0123
A-n34-k5; 778; 968.8; 24.52; 921; 1024; 28.04; 0.0133
A-n36-k5; 799; 1085.5; 35.86; 990; 1133; 42.59; 0.0155
A-n37-k5; 669; 957.7; 43.15; 920; 1001; 27.26; 0.0165
A-n37-k6; 949; 1240.1; 30.67; 1217; 1255; 11.07; 0.0164
A-n38-k5; 730; 962.8; 31.89; 904; 1008; 30.08; 0.0184
A-n39-k5; 822; 1081.3; 31.55; 1048; 1113; 21.73; 0.0252
A-n39-k6; 831; 1168.1; 40.57; 1120; 1229; 33.71; 0.0194
A-n44-k6; 937; 1256.7; 34.12; 1193; 1300; 26.91; 0.0291
A-n45-k6; 944; 1296.6; 37.35; 1206; 1371; 50.32; 0.032
A-n45-k7; 1146; 1476.8; 28.87; 1436; 1522; 27.01; 0.0324
A-n46-k7; 914; 1270.6; 39.02; 1215; 1328; 34.02; 0.0359
A-n48-k7; 1073; 1471.9; 37.18; 1380; 1533; 46.18; 0.0382
A-n53-k7; 1010; 1448.8; 43.45; 1392; 1489; 35.85; 0.0524
A-n54-k7; 1167; 1545.7; 32.45; 1512; 1576; 23.52; 0.053
A-n55-k9; 1073; 1510.7; 40.79; 1453; 1561; 29.37; 0.0537
A-n60-k9; 1354; 1886.1; 39.3; 1837; 1925; 25.79; 0.0663
A-n61-k9; 1034; 1503.5; 45.41; 1466; 1534; 22.67; 0.0742
A-n62-k8; 1288; 1835.5; 42.51; 1680; 1922; 65.18; 0.0803
A-n63-k10; 1314; 1873.7; 42.6; 1820; 1919; 31.75; 0.0789
A-n63-k9; 1616; 2135.7; 32.16; 2058; 2184; 37.61; 0.0822
A-n64-k9; 1401; 1965.8; 40.31; 1903; 2051; 51.61; 0.0891
A-n65-k9; 1174; 1768.0; 50.6; 1684; 1852; 55.61; 0.0893
A-n69-k9; 1159; 1814.0; 56.51; 1748; 1882; 40.3; 0.1053
A-n80-k10; 1763; 2531.7; 43.6; 2408; 2598; 54.78; 0.1596
X-n101-k25; 27591; 37545.0; 36.08; 35861; 38128; 665.95; 0.2828
X-n106-k14; 26362; 30626.7; 16.18; 30151; 31045; 270.84; 0.3967
X-n110-k13; 14971; 23532.3; 57.19; 22202; 24059; 588.12; 0.4485
X-n115-k10; 12747; 24242.2; 90.18; 22579; 25246; 785.01; 0.4259
X-n120-k6; 13332; 22667.4; 70.02; 21766; 23611; 643.5; 0.506
X-n125-k30; 55539; 65774.8; 18.43; 65267; 66811; 416.54; 0.4531
X-n129-k18; 28940; 40222.8; 38.99; 39034; 40948; 566.97; 0.569
X-n134-k13; 10916; 17748.6; 62.59; 16972; 18429; 432.46; 0.6263
X-n139-k10; 13590; 25296.9; 86.14; 24135; 26267; 634.96; 0.7563
X-n143-k7; 15700; 30695.5; 95.51; 29228; 32106; 877.01; 0.7969
X-n148-k46; 43448; 57868.8; 33.19; 57359; 58391; 328.4; 0.8725
X-n153-k22; 21220; 31437.3; 48.15; 30664; 31911; 342.85; 0.951
X-n157-k13; 16876; 22761.6; 34.88; 22358; 23334; 307.14; 1.2425
X-n162-k11; 14138; 26725.3; 89.03; 25641; 27850; 593.76; 1.2534
X-n167-k10; 20557; 35467.7; 72.53; 33353; 36328; 830.78; 1.4434
X-n172-k51; 45607; 62267.6; 36.53; 61046; 63592; 786.49; 1.2751
X-n176-k26; 47812; 69210.7; 44.76; 66590; 71093; 1522.44; 1.434
X-n181-k23; 25569; 34173.3; 33.65; 33503; 34932; 469.94; 1.8589
X-n186-k15; 24145; 40877.0; 69.3; 39297; 42181; 779.2; 1.8773
X-n190-k8; 16980; 24849.1; 46.34; 24477; 25306; 271.29; 2.0046
X-n195-k51; 44225; 65486.1; 48.07; 63526; 66415; 791.44; 1.9108
X-n200-k36; 58578; 70713.6; 20.72; 69110; 71463; 614.58; 2.4536
