problem; alpha; beta; rho; tau0; iterations
A-n39-k5; 1.0; 1.0; 0.3; 0.01; 10

nr; solution value; computation time in sec
1; 1183; 0.024
2; 1114; 0.026
3; 1077; 0.024
4; 1101; 0.025
5; 1167; 0.024
6; 1126; 0.024
7; 1143; 0.024
8; 1158; 0.026
9; 1174; 0.024
10; 1225; 0.025

avg; 1146.8; 0.0246
