problem; alpha; beta; rho; tau0; iterations
A-n39-k6; 1.0; 5.0; 0.6; 0.01; 100

nr; solution value; computation time in sec
1; 1007; 0.276
2; 1018; 0.29
3; 1015; 0.252
4; 1027; 0.263
5; 1019; 0.259
6; 1023; 0.291
7; 1023; 0.278
8; 1017; 0.254
9; 977; 0.289
10; 1027; 0.275

avg; 1015.3; 0.2727
