problem; alpha; beta; rho; tau0; iterations
X-n172-k51; 1.0; 1.0; 0.1; 0.01; 10

nr; solution value; computation time in sec
1; 72773; 1.866
2; 71784; 2.071
3; 73518; 2.008
4; 72005; 2.174
5; 73209; 2.136
6; 72223; 2.173
7; 72538; 1.972
8; 73114; 1.99
9; 73547; 2.032
10; 73368; 2.03

avg; 72807.9; 2.0452
