problem; alpha; beta; rho; tau0; iterations
X-n139-k10; 1.0; 1.0; 0.1; 0.01; 10

nr; solution value; computation time in sec
1; 43130; 1.093
2; 43561; 1.25
3; 42981; 1.257
4; 43157; 1.318
5; 42746; 1.276
6; 40056; 1.296
7; 43882; 1.262
8; 42373; 1.286
9; 41359; 1.291
10; 43440; 1.295

avg; 42668.5; 1.2624
