problem; alpha; beta; rho; tau0; iterations
A-n60-k9; 1.0; 1.0; 0.1; 1.0; 10

nr; solution value; computation time in sec
1; 2334; 0.084
2; 2333; 0.083
3; 2428; 0.086
4; 2310; 0.084
5; 2284; 0.083
6; 2220; 0.084
7; 2273; 0.083
8; 2346; 0.084
9; 2371; 0.084
10; 2352; 0.084

avg; 2325.1; 0.0839
