problem; alpha; beta; rho; tau0; iterations
X-n110-k13; 1.0; 1.0; 0.1; 5.0; 100

nr; solution value; computation time in sec
1; 21414; 5.556
2; 23494; 5.317
3; 22627; 5.327
4; 23002; 5.275
5; 22769; 5.378
6; 23259; 5.273
7; 22900; 5.833
8; 22900; 5.337
9; 23613; 5.258
10; 22621; 5.308

avg; 22859.9; 5.3862
