problem; alpha; beta; rho; tau0; iterations
A-n48-k7; 1.0; 1.0; 0.1; 0.1; 10

nr; solution value; computation time in sec
1; 1825; 0.045
2; 1767; 0.045
3; 1761; 0.045
4; 1804; 0.045
5; 1869; 0.046
6; 1840; 0.045
7; 1791; 0.046
8; 1859; 0.044
9; 1895; 0.045
10; 1851; 0.046

avg; 1826.2; 0.0452
